id,timestamp,type,severity,score,vehicles,max_speed,pedestrian,lat,lng,location,clip
RG-20260305-150935,2026-03-05 15:09:35,PEDESTRIAN ON ROAD,CRITICAL,85,[],127.3,True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-150935.avi
RG-20260305-151036,2026-03-05 15:10:36,WRONG-WAY VEHICLE,CRITICAL,85,[43],767.0,True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-151036.avi
RG-20260305-151039,2026-03-05 15:10:39,PEDESTRIAN ON ROAD,CRITICAL,85,[106],241.2,True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-151036.avi
RG-20260305-152017,2026-03-05 15:20:17,PEDESTRIAN ON ROAD,SEVERE,55,[],True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-152017.avi
RG-20260305-152128,2026-03-05 15:21:28,PEDESTRIAN ON ROAD,SEVERE,55,[],True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-152128.avi
RG-20260305-152218,2026-03-05 15:22:18,WRONG-WAY VEHICLE,SEVERE,55,"[106, 43]",True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-152218.avi
RG-20260305-152221,2026-03-05 15:22:21,PEDESTRIAN ON ROAD,SEVERE,55,[106],True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-152218.avi
RG-20260305-152325,2026-03-05 15:23:26,WRONG-WAY VEHICLE,SEVERE,55,"[106, 43]",True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-152325.avi
RG-20260305-152334,2026-03-05 15:23:34,PEDESTRIAN ON ROAD,SEVERE,55,[106],True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-152325.avi
RG-20260305-154358,2026-03-05 15:43:58,PEDESTRIAN ON ROAD,SEVERE,55,[],True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-154358.avi
RG-20260305-154533,2026-03-05 15:45:33,WRONG-WAY VEHICLE,SEVERE,55,"[106, 43]",True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-154533.avi
RG-20260305-154537,2026-03-05 15:45:37,PEDESTRIAN ON ROAD,SEVERE,55,[106],True,10.6578,77.0083,Unknown Location,incidents\RG-20260305-154533.avi
RG-20260307-211355,2026-03-07 21:13:55,PEDESTRIAN ON ROAD,SEVERE,55,[],8.9,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-211355.avi
RG-20260307-211425,2026-03-07 21:14:26,OVERSPEED,SEVERE,70,[],63.5,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-211425.avi
RG-20260307-211447,2026-03-07 21:14:47,WRONG-WAY VEHICLE,SEVERE,55,"[106, 43]",38.6,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-211447.avi
RG-20260307-211449,2026-03-07 21:14:49,PEDESTRIAN ON ROAD,SEVERE,55,[106],13.8,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-211447.avi
RG-20260307-212429,2026-03-07 21:24:29,PEDESTRIAN ON ROAD,SEVERE,55,[],0.0,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212429.avi,sms
RG-20260307-212516,2026-03-07 21:25:17,OVERSPEED,SEVERE,70,[],63.7,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212516.avi,sms
RG-20260307-212529,2026-03-07 21:25:29,WRONG-WAY VEHICLE,SEVERE,70,[106],42.1,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212516.avi,sms
RG-20260307-212530,2026-03-07 21:25:30,PEDESTRIAN ON ROAD,SEVERE,70,[106],46.8,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212516.avi,sms
RG-20260307-212558,2026-03-07 21:25:58,PEDESTRIAN ON ROAD,SEVERE,55,[],8.9,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212558.avi,sms
RG-20260307-212650,2026-03-07 21:26:50,OVERSPEED,SEVERE,70,[],64.9,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212650.avi,sms
RG-20260307-212703,2026-03-07 21:27:03,WRONG-WAY VEHICLE,SEVERE,70,[106],43.2,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212650.avi,sms
RG-20260307-212705,2026-03-07 21:27:05,PEDESTRIAN ON ROAD,SEVERE,55,[106],11.8,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212650.avi,sms
RG-20260307-212732,2026-03-07 21:27:32,PEDESTRIAN ON ROAD,SEVERE,55,[],8.9,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212732.avi,sms
RG-20260307-212823,2026-03-07 21:28:24,OVERSPEED,SEVERE,70,[],64.9,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212823.avi,sms
RG-20260307-212836,2026-03-07 21:28:36,WRONG-WAY VEHICLE,SEVERE,70,[106],43.2,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212823.avi,sms
RG-20260307-212837,2026-03-07 21:28:37,PEDESTRIAN ON ROAD,SEVERE,55,[106],11.8,True,10.6578,77.0083,Unknown Location,incidents\RG-20260307-212823.avi,sms
RG-20260307-214022,2026-03-07 21:40:22,PEDESTRIAN,INFO,0,"[1, 2]",0.0,True,10.6578,77.0083,Unknown Location,none,
RG-20260307-214051,2026-03-07 21:40:51,OVERSPEED,INFO,0,[61],63.5,False,10.6578,77.0083,Unknown Location,none,
RG-20260307-214111,2026-03-07 21:41:11,WRONG WAY,INFO,0,[106],6.1,False,10.6578,77.0083,Unknown Location,none,
RG-20260307-214113,2026-03-07 21:41:13,PEDESTRIAN,INFO,0,[54],0.0,True,10.6578,77.0083,Unknown Location,none,
