epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9312,1.45844,2.37378,1.77463,0.32049,0.17889,0.17318,0.06479,2.1453,3.35807,3.39918,0.000197778,0.000197778,0.08042
2,77.5868,1.34691,1.83522,1.67108,0.41242,0.42183,0.34024,0.14514,1.98921,2.86804,2.84931,0.000397681,0.000397681,0.0606199
3,98.9525,1.35523,1.8494,1.69536,0.35043,0.43787,0.38291,0.18703,1.68695,2.60583,2.08376,0.000597194,0.000597194,0.0408194
4,120.151,1.3856,1.86947,1.73816,0.5398,0.44985,0.49534,0.21694,1.96382,2.43891,2.46229,0.000796025,0.000796025,0.0210182
5,141.465,1.38877,1.88233,1.73455,0.65515,0.42254,0.4589,0.25257,1.7641,2.49155,2.22354,0.000993883,0.000993883,0.00121611
6,162.61,1.41357,1.89133,1.7403,0.29075,0.29093,0.26599,0.12863,1.83512,2.73106,2.28962,0.000993906,0.000993906,0.000993906
7,183.858,1.3574,1.8211,1.70989,0.66546,0.5281,0.57492,0.32591,1.66193,1.76945,2.14636,0.000991232,0.000991232,0.000991232
8,205.108,1.32638,1.76053,1.68015,0.69331,0.39794,0.49587,0.26044,1.65333,1.96949,2.15704,0.000988079,0.000988079,0.000988079
9,226.108,1.32715,1.70551,1.69972,0.58251,0.49362,0.50485,0.2678,1.69904,1.94173,2.22986,0.000984449,0.000984449,0.000984449
10,247.276,1.29204,1.67026,1.66173,0.61183,0.56714,0.5911,0.29903,1.67657,1.68524,2.12154,0.000980345,0.000980345,0.000980345
11,268.358,1.29177,1.64801,1.65523,0.55957,0.46367,0.47544,0.29453,1.52519,1.81663,1.97465,0.000975773,0.000975773,0.000975773
12,289.415,1.27974,1.60635,1.65181,0.58468,0.55766,0.56623,0.35647,1.42637,1.62813,1.90284,0.000970736,0.000970736,0.000970736
13,310.571,1.25547,1.56479,1.6234,0.68728,0.51146,0.59067,0.38494,1.45716,1.61616,1.88295,0.000965239,0.000965239,0.000965239
14,331.716,1.24516,1.56687,1.62447,0.66588,0.52865,0.60004,0.32126,1.6584,1.766,2.16666,0.000959289,0.000959289,0.000959289
15,352.812,1.21209,1.49944,1.59195,0.70647,0.58343,0.67133,0.41622,1.44,1.59764,1.89708,0.000952889,0.000952889,0.000952889
16,373.96,1.23446,1.50642,1.59337,0.66727,0.51813,0.56722,0.35042,1.52561,1.85482,1.9754,0.000946048,0.000946048,0.000946048
17,395.053,1.20957,1.47908,1.58811,0.70835,0.59212,0.62952,0.35323,1.61211,1.67327,2.11022,0.000938772,0.000938772,0.000938772
18,416.141,1.2089,1.47134,1.58108,0.7425,0.59534,0.6819,0.42555,1.39486,1.44752,1.80941,0.000931067,0.000931067,0.000931067
19,437.438,1.18905,1.42897,1.54945,0.65707,0.61168,0.66504,0.4098,1.43838,1.40984,1.92216,0.000922942,0.000922942,0.000922942
20,458.603,1.18268,1.40107,1.55727,0.63363,0.56688,0.60075,0.37966,1.43284,1.62252,1.89901,0.000914405,0.000914405,0.000914405
21,479.854,1.1757,1.34383,1.55092,0.67807,0.61981,0.64319,0.40876,1.39442,1.36621,1.83931,0.000905463,0.000905463,0.000905463
22,501.067,1.1651,1.38805,1.54806,0.72934,0.61045,0.69247,0.44755,1.37285,1.3264,1.81885,0.000896127,0.000896127,0.000896127
23,522.383,1.16074,1.36127,1.53553,0.77835,0.5955,0.68207,0.44072,1.31787,1.35725,1.77994,0.000886404,0.000886404,0.000886404
24,543.589,1.13703,1.30825,1.51831,0.7365,0.61315,0.64861,0.41296,1.41334,1.45287,1.9065,0.000876305,0.000876305,0.000876305
25,564.931,1.12292,1.29728,1.50594,0.73748,0.62408,0.67759,0.42308,1.40991,1.33596,1.86934,0.000865839,0.000865839,0.000865839
26,586.164,1.15056,1.33676,1.54232,0.66375,0.59868,0.64438,0.43415,1.35769,1.32941,1.81211,0.000855018,0.000855018,0.000855018
27,607.488,1.1294,1.27912,1.5108,0.80884,0.62402,0.70306,0.47866,1.28631,1.30898,1.7682,0.000843851,0.000843851,0.000843851
28,628.751,1.1186,1.26744,1.49759,0.68383,0.65068,0.68472,0.46137,1.2815,1.34627,1.74437,0.000832349,0.000832349,0.000832349
29,649.631,1.09807,1.26596,1.47977,0.75725,0.66071,0.69805,0.47343,1.27155,1.3018,1.75089,0.000820525,0.000820525,0.000820525
30,670.574,1.11405,1.22827,1.4919,0.73642,0.63182,0.6802,0.46397,1.29758,1.26305,1.75086,0.000808389,0.000808389,0.000808389
31,691.481,1.08965,1.21233,1.49048,0.75817,0.68627,0.69474,0.45311,1.34628,1.3195,1.78572,0.000795954,0.000795954,0.000795954
32,712.578,1.09651,1.21169,1.48331,0.70328,0.62577,0.67439,0.41687,1.42485,1.39713,1.93034,0.000783231,0.000783231,0.000783231
33,733.546,1.06144,1.16083,1.46343,0.73829,0.60804,0.67498,0.43627,1.40438,1.35988,1.89499,0.000770234,0.000770234,0.000770234
34,754.4,1.08487,1.21631,1.47169,0.72466,0.67404,0.71873,0.4464,1.39472,1.24674,1.88899,0.000756976,0.000756976,0.000756976
35,775.473,1.08668,1.19474,1.47884,0.79254,0.63583,0.72751,0.48672,1.29509,1.22857,1.74433,0.000743468,0.000743468,0.000743468
36,796.71,1.06211,1.15152,1.45566,0.74132,0.65786,0.70798,0.48566,1.29412,1.29076,1.72703,0.000729725,0.000729725,0.000729725
37,817.698,1.06505,1.14559,1.45737,0.74947,0.6862,0.72783,0.51423,1.1702,1.16547,1.62376,0.000715761,0.000715761,0.000715761
38,838.926,1.05844,1.13884,1.44728,0.73929,0.64049,0.71274,0.4945,1.21469,1.19928,1.6789,0.000701588,0.000701588,0.000701588
39,860.097,1.03566,1.101,1.42901,0.79609,0.58222,0.68311,0.46951,1.27983,1.26089,1.71024,0.000687222,0.000687222,0.000687222
40,881.598,1.03738,1.10427,1.43697,0.74283,0.67916,0.72371,0.49148,1.30861,1.20272,1.74757,0.000672675,0.000672675,0.000672675
41,1008.86,1.01809,1.08524,1.42722,0.73196,0.66208,0.71014,0.47425,1.30554,1.22948,1.75436,0.000657963,0.000657963,0.000657963
42,1029.88,1.01572,1.07073,1.42074,0.71978,0.69575,0.70181,0.47607,1.30683,1.2445,1.7866,0.000643101,0.000643101,0.000643101
43,1050.77,1.03087,1.09875,1.43235,0.7142,0.63556,0.70297,0.48659,1.26949,1.18755,1.72541,0.000628101,0.000628101,0.000628101
44,1071.74,1.00551,1.05238,1.41622,0.74893,0.64161,0.69427,0.48984,1.20265,1.2397,1.68628,0.000612981,0.000612981,0.000612981
45,1092.65,0.9923,1.02257,1.40473,0.81827,0.64544,0.7091,0.50747,1.19584,1.15693,1.65635,0.000597754,0.000597754,0.000597754
46,1113.56,1.00775,1.03178,1.40879,0.72468,0.66721,0.72999,0.50962,1.19799,1.16136,1.64244,0.000582435,0.000582435,0.000582435
47,1134.63,0.98195,1.00682,1.39426,0.78788,0.59224,0.69538,0.4996,1.19946,1.21692,1.65713,0.00056704,0.00056704,0.00056704
48,1155.6,0.98171,0.99191,1.3897,0.72419,0.6755,0.71927,0.51424,1.15959,1.20912,1.65484,0.000551584,0.000551584,0.000551584
49,1176.83,0.98538,1.01365,1.39711,0.76993,0.63054,0.69838,0.48142,1.22046,1.21504,1.68335,0.000536081,0.000536081,0.000536081
50,1197.8,0.96476,0.97134,1.37346,0.73078,0.68679,0.72191,0.50405,1.19835,1.15784,1.65549,0.000520548,0.000520548,0.000520548
51,1218.84,0.97151,0.96295,1.37796,0.74253,0.65856,0.72216,0.50708,1.20527,1.1366,1.65969,0.000505,0.000505,0.000505
52,1240.15,0.96905,0.97517,1.38015,0.76679,0.6214,0.68999,0.49196,1.18522,1.17206,1.65339,0.000489452,0.000489452,0.000489452
53,1261.11,0.93952,0.92018,1.34518,0.78238,0.65535,0.71817,0.51163,1.18762,1.14145,1.65809,0.000473919,0.000473919,0.000473919
54,1281.95,0.93322,0.92479,1.3581,0.71087,0.6966,0.70418,0.50389,1.16431,1.16696,1.6306,0.000458416,0.000458416,0.000458416
55,1302.82,0.9367,0.90489,1.34064,0.79641,0.62215,0.70805,0.49657,1.19674,1.22488,1.6694,0.00044296,0.00044296,0.00044296
56,1323.9,0.92662,0.90631,1.34455,0.75094,0.69074,0.73224,0.52417,1.14983,1.1002,1.62124,0.000427565,0.000427565,0.000427565
57,1344.85,0.93418,0.90464,1.35342,0.79777,0.62497,0.71238,0.50174,1.21283,1.14745,1.69932,0.000412246,0.000412246,0.000412246
58,1365.88,0.93365,0.90497,1.35156,0.82917,0.61316,0.71705,0.51041,1.15244,1.14498,1.64178,0.000397019,0.000397019,0.000397019
59,1386.91,0.92826,0.88879,1.3483,0.72925,0.67206,0.71491,0.48303,1.22844,1.17396,1.72471,0.000381899,0.000381899,0.000381899
